id,question,cluster
1,Who is the founder of Sitare University?,1
2,What is Dr. Amit Singhal's role at Sitare University?,1
3,What was Dr. Amit Singhal's position at Google?,2
4,What is Dr. Amit Singhal's professional background?,2
5,Is Dr. Amit Singhal associated with philanthropy?,2
6,Why is Dr. Amit Singhal famous?,2
7,What motivated Dr. Amit Singhal to start Sitare University?,1
8,Where can I learn more about Dr. Amit Singhal?,2
9,Was Dr. Amit Singhal involved in any other notable projects before Sitare University?,1
10,What is Dr. Amit Singhal's expertise in computer science?,2
11,What contributions has Dr. Amit Singhal made to the tech industry?,2
12,Is there a website where I can find more about Dr. Amit Singhal’s work?,2
13,How has Dr. Amit Singhal's experience at Google influenced Sitare University?,3
14,What does Dr. Amit Singhal aim to achieve through Sitare University?,1
15,Is Dr. Amit Singhal still based in the US?,2
16,What kind of curriculum does Sitare University offer?,3
17,What subjects are introduced in the first year at Sitare University?,1
18,Why is Sitare University's curriculum considered industry-relevant?,3
19,What programming languages are taught at Sitare University?,3
20,Are there any specific skills taught in the first year?,2
21,Does Sitare University offer internships from the first year?,6
22,What kind of industrial internships are provided at Sitare University?,6
23,How does Sitare University help students gain practical experience?,3
24,What real-world skills can students develop through Sitare University's internships?,3
25,How does Sitare University improve students’ communication skills?,3
26,What kind of expert-led sessions are offered at Sitare University?,3
27,Are there weekly sessions for soft skill development at Sitare University?,3
28,How does Sitare University support holistic development?,3
29,What activities are included in Sitare University's program for personal growth?,3
30,Does Sitare University offer guidance for public speaking?,3
31,Are students encouraged to write blogs at Sitare University?,3
32,Does Sitare University provide personalized guidance to students?,3
33,What kind of one-on-one mentorship is available at Sitare University?,1
34,Do professors at Sitare University offer support beyond academics?,3
35,How does Sitare University ensure academic and non-academic development?,3
36,What makes Sitare University unique compared to other universities?,1
37,How does Sitare University prepare students for real-world challenges?,3
38,Is there a video or link where I can learn more about Sitare University’s features?,1
39,Why was Sitare University founded?,1
40,What inspired the founders to build Sitare University?,1
41,What is the mission of Sitare University?,1
42,Why are the founders passionate about education?,2
43,How has education transformed the founders' lives?,2
44,Why does Sitare University focus on Computer Science?,3
45,Does Sitare University specifically support underprivileged students?,3
46,Why does Sitare University target the brightest underprivileged minds?,3
47,How does Sitare University help underprivileged students?,3
48,What opportunities does Sitare University provide for underprivileged students?,3
49,Is Sitare University built for profit?,1
50,Are the founders of Sitare University focused on making money?,1
51,Does Sitare University have any financial goals?,1
52,How does Sitare University fund its mission to support education?,1
53,Who are the founders of Sitare University?,1
54,What is the background of Shilpa Singhal and Amit Singhal?,2
55,What inspired Shilpa and Amit Singhal to start Sitare University?,1
56,How does the vision of the founders influence Sitare University?,1
57,Why do the founders believe in the power of education?,2
58,What is the impact of Sitare University on students' lives?,3
59,How does Sitare University aim to create the world’s best Computer Scientists?,3
60,Why is education considered transformative by the founders?,2
61,When was Sitare University established?,1
62,Who founded Sitare University?,1
63,What is the Sitare Foundation?,1
64,What was the purpose of founding Sitare University?,1
65,Why did Sitare University start in 2022?,1
66,What is the mission of Sitare University?,1
67,What is the vision behind Sitare University?,1
68,How does Sitare University aim to help underprivileged students?,3
69,What does Sitare University do to promote Computer Science education?,3
70,What makes Sitare University’s mission unique?,1
71,Who does Sitare University aim to educate?,1
72,Why does Sitare University focus on underprivileged youth?,3
73,What criteria does Sitare University use to select students?,3
74,Is Sitare University only for underprivileged students?,3
75,What kind of support does Sitare University offer to its students?,1
76,What type of education does Sitare University provide?,1
77,Is Sitare University’s education free?,1
78,How does Sitare University ensure world-class education?,3
79,What are the key focus areas in Sitare University’s curriculum?,3
80,How does Sitare University prepare students to become technology leaders?,3
81,What is Sitare University’s global vision for its students?,3
82,How does Sitare University make its students globally competitive?,3
83,Why does Sitare University aim to produce global technology leaders?,3
84,What is the international recognition of Sitare University?,1
85,Who are Amit Singhal and Shilpa Singhal?,2
86,What is the background of the founders of Sitare University?,1
87,Why did Amit and Shilpa Singhal start Sitare University?,1
88,How do the founders’ experiences influence Sitare University’s vision?,1
89,Where is Sitare University located?,1
90,Where is the new Sitare University campus being constructed?,1
91,What is the location of Sitare University's upcoming campus?,1
92,When will the new Sitare University campus be ready?,1
93,When will Sitare University move to its new campus?,1
94,What is the expected timeline for the completion of Sitare University's new campus?,1
95,How large is the new Sitare University campus?,1
96,What is the size of the campus being constructed for Sitare University?,1
