id,question,cluster
1,What is the tuition fee for international students?,1
2,What are the popular courses offered by the university?,3
3,How good are the hostel facilities on campus?,3
4,What is the average class size for undergraduate programs?,1
5,Are there any scholarship opportunities for international students?,2
6,What is the faculty-to-student ratio?,3
7,How active are student clubs and organizations?,3
8,What is the university's reputation for research?,3
9,How strong is the alumni network?,3
10,What are the job placement rates for graduates?,1
11,Are there any part-time job opportunities for students?,2
12,What is the library's collection like?,3
13,Are there any language courses available for international students?,2
14,How safe is the campus environment?,3
15,What is the university's policy on academic leave?,0
16,How accessible are the professors for academic advising?,3
17,What is the university's ranking in national and international rankings?,3
18,Are there any opportunities for internships?,2
19,What is the cost of living in the city where the university is located?,3
20,How diverse is the student body?,3
21,What is the university's policy on academic probation?,0
22,What are the extracurricular activities available on campus?,3
23,"How is the university's infrastructure, such as classrooms and labs?",3
24,What is the process for transferring credits from other institutions?,1
25,Are there any study abroad programs available?,2
26,How supportive is the university's counseling and mental health services?,3
27,What is the university's policy on academic dishonesty?,0
28,How accessible are the university's facilities for students with disabilities?,3
29,What is the university's policy on religious holidays?,0
30,What is the university's commitment to sustainability and environmental initiatives?,3
31,How is the university's Wi-Fi connectivity on campus?,3
32,What is the university's policy on attendance?,0
33,Are there any opportunities for research assistantships?,2
34,What is the university's policy on grade appeals?,0
35,How is the university's administrative staff helpful and efficient?,3
36,What is the university's policy on late assignments?,0
37,Are there any opportunities for student teaching?,2
38,What is the university's policy on academic dismissal?,0
39,How is the university's financial aid process?,1
40,What is the university's policy on withdrawals from courses?,0
41,Are there any opportunities for student government involvement?,2
42,What is the university's policy on academic freedom?,0
43,How is the university's career services office?,3
44,What is the university's policy on academic integrity?,0
45,Are there any opportunities for volunteer work?,2
46,What is the university's policy on academic suspension?,0
47,How is the university's food service?,3
48,What is the university's policy on academic load?,0
49,Are there any opportunities for student research?,2
50,What is the university's policy on academic standing?,0
51,How is the university's campus security?,3
52,What is the university's policy on academic credit?,0
53,Are there any opportunities for student leadership positions?,2
54,What is the university's policy on academic probation?,0
55,How is the university's transportation system?,3
56,What is the university's policy on academic dismissal?,0
57,Are there any opportunities for student clubs and organizations?,2
58,What is the university's policy on academic dishonesty?,0
59,How is the university's housing office?,3
60,What is the university's policy on academic load?,0
61,Are there any opportunities for study abroad programs?,2
62,What is the university's policy on academic standing?,0
63,How is the university's athletic program?,3
64,What is the university's policy on academic suspension?,0
65,Are there any opportunities for student teaching?,2
66,What is the university's policy on academic credit?,0
67,How is the university's library?,3
68,What is the university's policy on academic probation?,0
69,Are there any opportunities for research assistantships?,2
70,What is the university's policy on academic dismissal?,0
71,How is the university's financial aid office?,3
72,What is the university's policy on academic load?,0
73,Are there any opportunities for student government involvement?,2
74,What is the university's policy on academic freedom?,0
75,How is the university's career services office?,3
76,What is the university's policy on academic integrity?,0
77,Are there any opportunities for volunteer work?,2
78,What is the university's policy on academic suspension?,0
79,How is the university's food service?,3
80,What is the university's policy on academic load?,0
81,Are there any opportunities for student research?,2
82,What is the university's policy on academic standing?,0
83,How is the university's campus security?,3
84,What is the university's policy on academic credit?,0
85,Are there any opportunities for student leadership positions?,2
86,What is the university's policy on academic probation?,0
87,How is the university's transportation system?,3
88,What is the university's policy on academic dismissal?,0
89,Are there any opportunities for student clubs and organizations?,2
90,What is the university's policy on academic dishonesty?,0
